POINT_ID,FROM_DATE,TO_DATE,POINT_LON,POINT_LAT,POINT_ELEVATION,POINT_BALANCE
B10,2010-09-02,2010-10-08,-72.008,-39.949,1881,0.05
B10,2010-05-09,2010-05-28,-72.008,-39.949,1881,0.17
B10,2010-03-11,2010-04-07,-72.008,-39.949,1881,-1.1
B10,2010-02-11,2010-03-11,-72.008,-39.949,1881,-1.12
B10,2010-01-07,2010-02-11,-72.008,-39.949,1881,-1
B10,2009-12-11,2010-01-07,-72.008,-39.949,1881,-0.7
B1,2010-12-06,2010-12-22,-72.027,-39.932,2392,0.03
B1,2010-11-04,2010-12-06,-72.027,-39.932,2392,0.02
B1,2010-10-08,2010-11-04,-72.027,-39.932,2392,0.04
B1,2010-09-02,2010-10-08,-72.027,-39.932,2392,0.21
B1,2010-07-15,2010-09-02,-72.027,-39.932,2392,0.29
B1,2010-05-09,2010-05-28,-72.027,-39.932,2392,0.2
B1,2010-03-11,2010-04-07,-72.027,-39.932,2392,-0.02
B1,2010-02-11,2010-03-11,-72.027,-39.932,2392,-0.07
B1,2010-01-07,2010-02-11,-72.027,-39.932,2392,-0.65
B12,2009-12-11,2010-01-07,-72.011,-39.952,1817,-0.82
B11,2010-12-06,2010-12-22,-72.001,-39.945,1811,0.09
B11,2010-11-04,2010-12-06,-72.001,-39.945,1811,-0.68
B12,2010-01-07,2010-02-11,-72.011,-39.952,1817,1.99
B9,2010-12-06,2010-12-22,-71.997,-39.946,1687,-0.11
B9,2010-11-04,2010-12-06,-71.997,-39.946,1687,-0.65
B9,2010-10-08,2010-11-04,-71.997,-39.946,1687,-0.13
B9,2010-09-02,2010-10-08,-71.997,-39.946,1687,-0.09
B9,2010-05-09,2010-05-28,-71.997,-39.946,1687,0.05
B9,2010-04-07,2010-05-09,-71.997,-39.946,1687,-0.42
B9,2010-03-11,2010-04-07,-71.997,-39.946,1687,-1.37
B9,2010-02-11,2010-03-11,-71.997,-39.946,1687,-2.04
B9,2010-01-07,2010-02-11,-71.997,-39.946,1687,-2.05
B9,2009-12-11,2010-01-07,-71.997,-39.946,1687,-1.06
B8,2010-11-04,2010-12-06,-72.004,-39.945,1887,-0.47
B8,2010-10-08,2010-11-04,-72.004,-39.945,1887,0.09
B8,2010-09-02,2010-10-08,-72.004,-39.945,1887,-0.06
B8,2010-07-15,2010-09-02,-72.004,-39.945,1887,0.87
B8,2010-05-09,2010-05-28,-72.004,-39.945,1887,0.11
B8,2010-04-07,2010-05-09,-72.004,-39.945,1887,-0.07
B8,2010-03-11,2010-04-07,-72.004,-39.945,1887,-1.1
B8,2010-02-11,2010-03-11,-72.004,-39.945,1887,-1.45
B8,2010-01-07,2010-02-11,-72.004,-39.945,1887,-1.76
B8,2009-12-11,2010-01-07,-72.004,-39.945,1887,-1.01
B2,2010-12-06,2010-12-22,-72.028,-39.931,2392,0.05
B2,2010-11-04,2010-12-06,-72.028,-39.931,2392,0.08
B2,2010-10-08,2010-11-04,-72.028,-39.931,2392,0.16
B2,2010-09-02,2010-10-08,-72.028,-39.931,2392,0.2
B2,2010-07-15,2010-09-02,-72.028,-39.931,2392,0.52
B2,2010-05-09,2010-05-28,-72.028,-39.931,2392,0.3
B2,2010-04-07,2010-05-09,-72.028,-39.931,2392,0.52
B2,2010-03-11,2010-04-07,-72.028,-39.931,2392,-0.2
B2,2010-02-11,2010-03-11,-72.028,-39.931,2392,-0.1
B2,2010-01-07,2010-02-11,-72.028,-39.931,2392,-0.12
B2,2009-12-11,2010-01-07,-72.028,-39.931,2392,-0.1
B19,2010-12-06,2010-12-22,-72.03,-39.942,2022,0.27
B19,2010-11-04,2010-12-06,-72.03,-39.942,2022,-0.02
B19,2010-10-08,2010-11-04,-72.03,-39.942,2022,0.29
B19,2010-09-02,2010-10-08,-72.03,-39.942,2022,0.14
B19,2010-05-09,2010-05-28,-72.03,-39.942,2022,0.25
B19,2010-04-07,2010-05-09,-72.03,-39.942,2022,0.67
B19,2010-03-11,2010-04-07,-72.03,-39.942,2022,-0.3
B19,2010-02-11,2010-03-11,-72.03,-39.942,2022,-0.61
B19,2010-01-07,2010-02-11,-72.03,-39.942,2022,-0.69
B19,2009-12-11,2010-01-07,-72.03,-39.942,2022,-0.37
B18,2010-11-04,2010-12-06,-72.019,-39.943,1982,-0.13
B18,2010-10-08,2010-11-04,-72.019,-39.943,1982,0.16
B18,2010-09-02,2010-10-08,-72.019,-39.943,1982,0.2
B18,2010-05-09,2010-05-28,-72.019,-39.943,1982,0.19
B18,2010-04-07,2010-05-09,-72.019,-39.943,1982,0.31
B18,2010-03-11,2010-04-07,-72.019,-39.943,1982,-0.56
B18,2010-02-11,2010-03-11,-72.019,-39.943,1982,-0.58
B18,2010-01-07,2010-02-11,-72.019,-39.943,1982,-0.89
B18,2009-12-11,2010-01-07,-72.019,-39.943,1982,-0.48
B17,2010-12-06,2010-12-22,-72.014,-39.936,2032,-0.05
B17,2010-10-08,2010-11-04,-72.014,-39.936,2032,0.25
B17,2010-09-02,2010-10-08,-72.014,-39.936,2032,-0.03
B17,2010-05-09,2010-05-28,-72.014,-39.936,2032,0.34
B17,2010-04-07,2010-05-09,-72.014,-39.936,2032,0.45
B17,2010-03-11,2010-04-07,-72.014,-39.936,2032,-0.06
B17,2010-02-11,2010-03-11,-72.014,-39.936,2032,-0.13
B17,2010-01-07,2010-02-11,-72.014,-39.936,2032,-0.54
B17,2009-12-11,2010-01-07,-72.014,-39.936,2032,-0.5
B15,2010-12-06,2010-12-22,-72.009,-39.942,1918,0.27
B15,2010-11-04,2010-12-06,-72.009,-39.942,1918,-0.46
B15,2010-10-08,2010-11-04,-72.009,-39.942,1918,0.12
B15,2010-09-02,2010-10-08,-72.009,-39.942,1918,0.1
B15,2010-05-09,2010-05-28,-72.009,-39.942,1918,0.17
B15,2010-04-07,2010-05-09,-72.009,-39.942,1918,0.16
B15,2010-03-11,2010-04-07,-72.009,-39.942,1918,-0.6
B15,2010-02-11,2010-03-11,-72.009,-39.942,1918,-0.75
B15,2010-01-07,2010-02-11,-72.009,-39.942,1918,-0.92
B15,2009-12-11,2010-01-07,-72.009,-39.942,1918,-0.67
B14,2010-12-06,2010-12-22,-72.015,-39.947,1919,0.32
B14,2010-10-08,2010-11-04,-72.015,-39.947,1919,0.28
B14,2010-09-02,2010-10-08,-72.015,-39.947,1919,0.08
B14,2010-05-09,2010-05-28,-72.015,-39.947,1919,0.18
B14,2010-04-07,2010-05-09,-72.015,-39.947,1919,0.3
B14,2010-03-11,2010-04-07,-72.015,-39.947,1919,-0.54
B14,2010-02-11,2010-03-11,-72.015,-39.947,1919,-0.78
B14,2010-01-07,2010-02-11,-72.015,-39.947,1919,-0.66
B14,2009-12-11,2010-01-07,-72.015,-39.947,1919,-0.41
B13,2010-12-06,2010-12-22,-72.019,-39.951,1917,0.05
B13,2010-11-04,2010-12-06,-72.019,-39.951,1917,-0.2
B13,2010-10-08,2010-11-04,-72.019,-39.951,1917,-0.04
B13,2010-09-02,2010-10-08,-72.019,-39.951,1917,0.03
B13,2010-05-28,2010-07-15,-72.019,-39.951,1917,0.58
B13,2010-05-09,2010-05-28,-72.019,-39.951,1917,0.09
B13,2010-04-07,2010-05-09,-72.019,-39.951,1917,0.2
B13,2010-03-11,2010-04-07,-72.019,-39.951,1917,-0.62
B13,2010-02-11,2010-03-11,-72.019,-39.951,1917,-0.88
B13,2010-01-07,2010-02-11,-72.019,-39.951,1917,-0.98
B13,2009-12-11,2010-01-07,-72.019,-39.951,1917,-0.78
B12,2010-12-06,2010-12-22,-72.011,-39.952,1817,-0.13
B12,2010-11-04,2010-12-06,-72.011,-39.952,1817,-0.63
B12,2010-10-08,2010-11-04,-72.011,-39.952,1817,-0.19
B12,2010-09-02,2010-10-08,-72.011,-39.952,1817,0.05
B12,2010-07-15,2010-09-02,-72.011,-39.952,1817,0.43
