POINT_ID,FROM_DATE,TO_DATE,POINT_LON,POINT_LAT,POINT_ELEVATION,POINT_BALANCE,YEAR,RGIId,aspect,slope
B1,20090902,20091007,-72.027,-39.932,2392.0,0.17,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B8,20090426,20090529,-72.004,-39.945,1887.0,-0.12,2009,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B8,20090529,20090724,-72.004,-39.945,1887.0,1.19,2009,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B14,20090724,20090902,-72.015,-39.947,1919.0,1.72,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B14,20090902,20091007,-72.015,-39.947,1919.0,0.61,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B14,20091007,20091211,-72.015,-39.947,1919.0,1.78,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B15,20090426,20090529,-72.009,-39.942,1918.0,-0.5,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B18,20090426,20090529,-72.019,-39.943,1982.0,-0.22,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B18,20090724,20090902,-72.019,-39.943,1982.0,1.45,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B18,20090902,20091007,-72.019,-39.943,1982.0,0.42,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B18,20091007,20091211,-72.019,-39.943,1982.0,1.1,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B8,20090724,20090902,-72.004,-39.945,1887.0,0.74,2009,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B8,20090902,20091007,-72.004,-39.945,1887.0,0.28,2009,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B8,20091007,20091211,-72.004,-39.945,1887.0,-0.01,2009,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B9,20090724,20090902,-71.997,-39.946,1687.0,0.63,2009,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B9,20090902,20091007,-71.997,-39.946,1687.0,0.27,2009,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B19,20090426,20090529,-72.03,-39.942,2022.0,-0.16,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B9,20091007,20091211,-71.997,-39.946,1687.0,-0.35,2009,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B19,20090902,20091007,-72.03,-39.942,2022.0,0.59,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B19,20091007,20091211,-72.03,-39.942,2022.0,1.74,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B2,20090902,20091007,-72.028,-39.931,2392.0,0.12,2009,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B2,20091007,20091211,-72.028,-39.931,2392.0,1.03,2009,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B15,20090724,20090902,-72.009,-39.942,1918.0,1.44,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B13,20091007,20091211,-72.019,-39.951,1917.0,1.02,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B13,20090902,20091007,-72.019,-39.951,1917.0,0.63,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B13,20090724,20090902,-72.019,-39.951,1917.0,1.42,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B12,20091007,20091211,-72.011,-39.952,1817.0,-0.09,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B15,20090902,20091007,-72.009,-39.942,1918.0,0.49,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B12,20090902,20091007,-72.011,-39.952,1817.0,0.14,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B12,20090724,20090902,-72.011,-39.952,1817.0,0.25,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B12,20090529,20090724,-72.011,-39.952,1817.0,0.34,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B11,20091007,20091211,-72.001,-39.945,1811.0,0.45,2009,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B14,20101104,20101206,-72.015,-39.947,1919.0,-0.07,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B11,20100211,20100311,-72.001,-39.945,1811.0,-1.67,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B11,20100107,20100211,-72.001,-39.945,1811.0,1.16,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B11,20091211,20100107,-72.001,-39.945,1811.0,-0.94,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B10,20101206,20101222,-72.008,-39.949,1881.0,0.14,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B10,20101104,20101206,-72.008,-39.949,1881.0,-0.41,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B10,20101008,20101104,-72.008,-39.949,1881.0,-0.02,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B10,20100902,20101008,-72.008,-39.949,1881.0,0.05,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B10,20100509,20100528,-72.008,-39.949,1881.0,0.17,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B10,20100311,20100407,-72.008,-39.949,1881.0,-1.1,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B10,20100211,20100311,-72.008,-39.949,1881.0,-1.12,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B10,20100107,20100211,-72.008,-39.949,1881.0,-1.0,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B10,20091211,20100107,-72.008,-39.949,1881.0,-0.7,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B1,20101206,20101222,-72.027,-39.932,2392.0,0.03,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B1,20101104,20101206,-72.027,-39.932,2392.0,0.02,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B1,20101008,20101104,-72.027,-39.932,2392.0,0.04,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B1,20100902,20101008,-72.027,-39.932,2392.0,0.21,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B1,20100715,20100902,-72.027,-39.932,2392.0,0.29,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B1,20100509,20100528,-72.027,-39.932,2392.0,0.2,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B1,20100311,20100407,-72.027,-39.932,2392.0,-0.02,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B1,20100211,20100311,-72.027,-39.932,2392.0,-0.07,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B1,20100107,20100211,-72.027,-39.932,2392.0,-0.65,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B12,20091211,20100107,-72.011,-39.952,1817.0,-0.82,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B11,20101206,20101222,-72.001,-39.945,1811.0,0.09,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B11,20101104,20101206,-72.001,-39.945,1811.0,-0.68,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B12,20100107,20100211,-72.011,-39.952,1817.0,1.99,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B9,20101206,20101222,-71.997,-39.946,1687.0,-0.11,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B9,20101104,20101206,-71.997,-39.946,1687.0,-0.65,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B9,20101008,20101104,-71.997,-39.946,1687.0,-0.13,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B9,20100902,20101008,-71.997,-39.946,1687.0,-0.09,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B9,20100509,20100528,-71.997,-39.946,1687.0,0.05,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B9,20100407,20100509,-71.997,-39.946,1687.0,-0.42,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B9,20100311,20100407,-71.997,-39.946,1687.0,-1.37,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B9,20100211,20100311,-71.997,-39.946,1687.0,-2.04,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B9,20100107,20100211,-71.997,-39.946,1687.0,-2.05,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B9,20091211,20100107,-71.997,-39.946,1687.0,-1.06,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B8,20101104,20101206,-72.004,-39.945,1887.0,-0.47,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B8,20101008,20101104,-72.004,-39.945,1887.0,0.09,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B8,20100902,20101008,-72.004,-39.945,1887.0,-0.06,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B8,20100715,20100902,-72.004,-39.945,1887.0,0.87,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B8,20100509,20100528,-72.004,-39.945,1887.0,0.11,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B8,20100407,20100509,-72.004,-39.945,1887.0,-0.07,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B8,20100311,20100407,-72.004,-39.945,1887.0,-1.1,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B8,20100211,20100311,-72.004,-39.945,1887.0,-1.45,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B8,20100107,20100211,-72.004,-39.945,1887.0,-1.76,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B8,20091211,20100107,-72.004,-39.945,1887.0,-1.01,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B2,20101206,20101222,-72.028,-39.931,2392.0,0.05,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B2,20101104,20101206,-72.028,-39.931,2392.0,0.08,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B2,20101008,20101104,-72.028,-39.931,2392.0,0.16,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B2,20100902,20101008,-72.028,-39.931,2392.0,0.2,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B2,20100715,20100902,-72.028,-39.931,2392.0,0.52,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B2,20100509,20100528,-72.028,-39.931,2392.0,0.3,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B2,20100407,20100509,-72.028,-39.931,2392.0,0.52,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B2,20100311,20100407,-72.028,-39.931,2392.0,-0.2,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B2,20100211,20100311,-72.028,-39.931,2392.0,-0.1,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B2,20100107,20100211,-72.028,-39.931,2392.0,-0.12,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B2,20091211,20100107,-72.028,-39.931,2392.0,-0.1,2010,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B19,20101206,20101222,-72.03,-39.942,2022.0,0.27,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B19,20101104,20101206,-72.03,-39.942,2022.0,-0.02,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B19,20101008,20101104,-72.03,-39.942,2022.0,0.29,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B19,20100902,20101008,-72.03,-39.942,2022.0,0.14,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B19,20100509,20100528,-72.03,-39.942,2022.0,0.25,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B19,20100407,20100509,-72.03,-39.942,2022.0,0.67,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B19,20100311,20100407,-72.03,-39.942,2022.0,-0.3,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B19,20100211,20100311,-72.03,-39.942,2022.0,-0.61,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B19,20100107,20100211,-72.03,-39.942,2022.0,-0.69,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B19,20091211,20100107,-72.03,-39.942,2022.0,-0.37,2010,RGI60-17.12440,0.8541885614395142,0.12113004177808762
